Transcript/RepeatID	chr	start	end	strand	Length	Copies	Annotation/Divergence	B_53A_GSM1153526.CvsH	FPKM	B_CL7B-P12_GSM1153525.CvsH	FPKM	B_PR01086_iPSC-1_A_GSM1153521.CvsH	FPKM	B_PR01086_iPSC-1_B_GSM1153523.CvsH	FPKM	C_PR00818_iPSC-2_A_GSM1153514.CvsH	FPKM	C_PR00818_iPSC-2_B_GSM1153516.CvsH	FPKM	C_PR01209_iPSC-1_A_GSM1153517.CvsH	FPKM	C_PR01209_iPSC-1_B_GSM1153519.CvsH	FPKM	H_ADRC-40_iPSC-2_A_GSM1153507.CvsH	FPKM	H_ADRC-40_iPSC-2_B_GSM1153501.CvsH	FPKM	H_ESC_H1_GSM1153529.CvsH	FPKM	H_ESC_HUES-6_GSM1153528.CvsH	FPKM	H_GM22159_WT-9_iPSC_GSM1153512.CvsH	FPKM	H_WT-126_iPSC_GSM1153513.CvsH	FPKM	H_WT-33_iPSC-1_A_GSM1153510.CvsH	FPKM	H_WT-33_iPSC-1_B_GSM1153509.CvsH	FPKM	c1.CvsH.hg19	FPKM	c2.CvsH.hg19	FPKM	h1.CvsH.hg19	FPKM	h2.CvsH.hg19	FPKM
Merged-chr14-46483702-8	chr14	46480848	46488103	-	7255	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.105	0.068	0.157	0.06	0.226	0.287	0.231	0.23	0.005	0.006	0.047	0	0.014	0.023	0.009	0	0.502	0.306	0.021	0.015																				
Merged-chr6-131648201-7	chr6	131643661	131651052	+	7391	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.4	0.744	0.665	0.517	0.918	1.532	1.073	0.587	0.211	0.109	0.547	0.101	0.216	0.542	0.148	0.159	0.232	0.19	0.462	0.304																				
Merged-chr13-91495351-8	chr13	91491032	91498180	+	7148	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.282	0.065	0.33	0.037	0.227	0.388	0.298	0.26	0.019	0.006	0.033	0.006	0.029	0.021	0.006	0.027	0.548	0.202	0.027	0.017																				
Merged-chr2-232295854-6	chr2	232293915	232297884	-	3969	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0																				
Merged-chr5-128070130-6	chr5	128066741	128072475	+	5734	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0.001	0	0	0.006	0	0.004	0	0	0.004	0	0.004	0	0.006	0	0	0	0.004	0	0.004																				
Merged-chr3-37249073-9	chr3	37245821	37252179	+	6358	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0.007	0	0.01	0	0.007	0	0	0.008	0	0.003	0.009	0	0	0	0.012	0.015	0	0.007	0																				
Merged-chr5-83998412-7	chr5	83995102	84000786	+	5684	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	1.962	0.101	2.055	0.099	2.08	3.048	2.066	2.096	0.483	0.474	0.763	0.396	0.867	1.821	1.164	1.156	4.016	1.472	1.313	0.926																				
Merged-chr4-4003884-7	chr4	4001016	4008317	-	7301	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.006	0.005	0	0.009	0.02	0.006	0.022	0.007	0.005	0	0	0.011	0.073	0.008	0.032	0.026	0.038	0.01	0.034	0.015																				
Merged-chr9-130176754-6	chr9	130174763	130178615	+	3852	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.012	0	0	0	0.029	0.022	0.006	0	0	0.03	0.038	0.021	0.011	0.005	0.016	0.02	0.148	0.092	0.053	0.06																				
Merged-chrX-112354021-8	chrX	112351163	112358432	-	7269	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.025	0.003	0.038	0	0.036	0.092	0.044	0.007	0.012	0.016	0.032	0.003	0.003	0.026	0.003	0.01	0.031	0.016	0.013	0.006																				
Merged-chr18-29584116-7	chr18	29579677	29587071	+	7394	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0.006	0	0.009	0.01	0.009	0.009	0	0	0	0.002	0	0	0	0	0	0.036	0.031	0.007	0																				
Merged-chr5-76182303-2	chr5	76180980	76183627	-	2647	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0.014	0	0	0	0	0	0	0.015	0	0	0	0	0	0	0	0																				
Merged-chr4-140079900-3	chr4	140078328	140081602	-	3274	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0.015	0.012	0	0.017	0.112	0.07	0.058	0.027	0.014	0.028	0.025	0.025	0.068	0.013	0	0.126	0.022	0.043	0.02																				
Merged-chr11-23207581-8	chr11	23204705	23212064	-	7359	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.487	0.086	0.444	0.081	0.702	1.198	1.016	0.46	0.123	0.031	0.191	0.079	0.108	0.301	0.106	0.155	0.589	0.583	0.549	0.273																				
Merged-chr14-53601647-4	chr14	53599145	53603830	+	4685	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0	0	0	0	0.015	0	0	0	0	0	0.008	0.004	0.005	0.005																				
Merged-chr9-25291852-7	chr9	25287381	25294920	+	7539	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.006	0.015	0.037	0.004	0.061	0.095	0.094	0.032	0.035	0.015	0.048	0.056	0.141	0.067	0.075	0.111	0.047	0.01	0.12	0.031																				
Merged-chr21-27602240-7	chr21	27599400	27606604	-	7204	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.087	0.082	0.076	0.083	0.138	0.111	0.134	0.066	0.036	0.048	0.118	0.022	0.014	0.093	0.035	0.032	0.053	0.039	0.201	0.141																				
Merged-chr14-82528715-6	chr14	82526452	82531934	-	5482	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.743	0.173	0.761	0.109	0.918	1.177	0.996	1	0.003	0.004	0.026	0	0.007	0.007	0.015	0.014	2.133	1.456	0.016	0.012																				
Merged-chr5-170191123-7	chr5	170188290	170195664	-	7374	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	31.245	6.105	30.597	3.32	37.079	50.375	38.245	37.781	0.671	0.253	1.774	0.507	1.074	1.111	0.823	0.592	88.742	55.986	1.537	0.902																				
Merged-chr11-5183612-8	chr11	5180732	5188141	-	7409	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.024	0.009	0.021	0.004	0.06	0.044	0.046	0.051	0.155	0.031	0.432	0.033	0.022	0.058	0.043	0.031	0.073	0.028	0.138	0.079																				
Merged-chr9-76704463-9	chr9	76699723	76707439	+	7716	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	1.985	1.063	2.151	1.817	3.75	4.176	3.141	2.97	6.663	3.109	14.731	5.796	3.415	6.605	4.757	4.81	3.97	1.299	12.611	5.672																				
Merged-chr13-66802606-7	chr13	66799726	66807247	-	7521	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	1.078	0.32	1.26	0.243	1.263	2.122	1.43	1.077	0.085	0.11	0.281	0.174	0.131	0.361	0.229	0.167	0.807	0.722	0.875	0.324																				
Merged-chrX-3477627-2	chrX	3476269	3478985	-	2716	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.148	0.012	0.29	0.012	0.197	0.311	0.287	0.368	0.013	0.008	0.007	0.007	0	0.007	0	0	0.847	0.95	0.008	0.004																				
Merged-chr1-225074233-3	chr1	225072326	225076666	+	4340	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0	0	0.004	0	0.008	0	0	0.009	0	0	0	0	0	0																				
Merged-chr11-37602157-9	chr11	37599119	37605766	-	6647	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0.003	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				
Merged-chr6-123881309-7	chr6	123877194	123884286	+	7092	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0.008	0.006	0.006	0	0.007	0	0.025	0	0.003	0.005	0.006	0	0.003	0.001	0.002	0.003																				
Merged-chr14-92515388-3	chr14	92513200	92517127	-	3927	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.068	0.022	0.02	0.008	0.023	0.022	0.012	0.061	0.053	0.018	0.074	0.051	0.089	0.043	0.027	0	0.225	0.164	0.14	0.135																				
Merged-chr2-169991665-7	chr2	169989374	169994109	+	4735	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.047	0.005	0.008	0.007	0.047	0.009	0.039	0.03	1.602	0.224	0.08	0.709	0.19	0.594	0.235	0.305	0.137	0.415	0.184	0.19																				
Merged-chr5-162762404-2	chr5	162760552	162764256	+	3704	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0.006	0.012	0	0	0	0	0	0	0	0.011	0	0	0	0	0.003																				
Merged-chr1-105139942-3	chr1	105138358	105141847	+	3489	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				
Merged-chr3-166219141-4	chr3	166217592	166220719	-	3127	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.043	0.076	0.05	0.074	0.071	0.139	0.125	0.198	0	0	0	0	0	0	0	0	0.192	0.087	0	0																				
Merged-chr5-161704466-7	chr5	161701639	161708961	-	7322	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.728	0.025	0.892	0.032	2.071	2.393	1.613	1.191	0.145	0.025	0.212	0.055	0.154	0.153	0.017	0.067	0.528	0.715	0.053	0.045																				
Merged-chr1-186871711-2	chr1	186870566	186872857	+	2291	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				
Merged-chr3-163631209-3	chr3	163629874	163632573	+	2699	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	2.14	0.551	2.244	0.123	2.747	4.253	3.636	3.072	0	0.009	0.067	0.015	0	0.028	0.008	0	3.589	2.53	0.008	0																				
Merged-chr13-43443942-8	chr13	43441365	43448068	-	6703	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	3.982	0.359	2.752	0.57	5.008	6.824	3.992	2.9	35.923	12.998	56.68	25.083	21.721	54.138	31.705	26.468	3.832	1.172	38.309	30.963																				
Merged-chr2-207887253-4	chr2	207885693	207888802	+	3109	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0.008	0	0	0.03	0	0.015	0	0.006	0.015	0.006	0	0	0.012	0.014	0	0.044	0.114	0.017	0																				
Merged-chr6-6030127-8	chr6	6027256	6034626	-	7370	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.577	0.128	0.64	0.045	0.991	1.522	0.927	0.776	0.843	0.532	1.245	0.84	1.73	2.342	2.28	0.794	0.654	0.369	2.089	0.74																				
Merged-chr19-5551467-6	chr19	5547807	5554003	+	6196	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.202	0.259	0.146	0.257	0.22	0.402	0.27	0.169	0.07	0.067	0.213	0.094	0.129	0.174	0.085	0.086	0.489	0.193	0.235	0.225																				
Merged-chr10-60626652-2	chr10	60625439	60627866	-	2427	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.111	0.028	0.162	0.014	0.205	0.196	0.217	0.432	0.029	0.028	0.112	0.025	0.034	0.077	0.035	0.047	0.43	0.172	0.071	0.014																				
Merged-chr6-72458855-4	chr6	72457304	72460435	-	3131	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0																				
Merged-chr2-84018293-9	chr2	84015276	84022400	-	7124	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.031	0.021	0.055	0.033	0.223	0.444	0.245	0.06	0.01	0.003	0.068	0.006	0.023	0.031	0.015	0.011	0.025	0.004	0.051	0.028																				
Merged-chr1-185919539-8	chr1	185916636	185924122	-	7486	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	3.661	3.11	4.519	3.044	3.434	5.595	4.111	3.774	0.707	0.357	0.888	0.559	0.56	1.147	0.491	0.624	5.205	2.379	2.235	1.573																				
Merged-chr5-18671047-8	chr5	18668176	18675484	-	7308	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.257	0.111	0.118	0.1	0.338	0.572	0.355	0.248	0.456	0.656	1.088	0.482	0.647	0.869	0.463	0.556	0.828	0.369	1.087	0.585																				
Merged-chr1-99268721-7	chr1	99265832	99273192	-	7360	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.024	0.003	0.043	0.014	0.03	0.053	0.028	0.032	0.002	0.006	0.042	0.025	0.044	0.008	0	0	0.021	0.004	0.035	0.024																				
Merged-chr8-72590843-7	chr8	72586397	72593672	+	7275	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	2.77	1.517	2.968	0.744	3.139	4.793	3.808	2.901	2.463	2.673	6.081	4.934	1.592	4.042	6.18	3.875	6.23	2.68	6.034	3.527																				
Merged-chrX-16064864-7	chrX	16062041	16069338	-	7297	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.031	0.14	0.054	0.068	0.162	0.237	0.126	0.065	0.017	0	0.106	0.036	0.031	0.038	0.023	0.01	0.441	0.284	0.068	0.03																				
Merged-chr19-55520234-8	chr19	55517401	55524587	-	7186	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.991	0.489	1.056	0.18	1.468	3.246	2.476	1.439	0.208	0.051	1.375	0.123	0.273	0.225	0.158	0.074	5.02	3.23	0.579	0.657																				
Merged-chr7-20588919-9	chr7	20585532	20592113	+	6581	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.327	0.072	0.448	0.02	0.367	0.635	0.397	0.456	0	0	0.003	0.003	0.006	0.011	0	0.017	0.079	0.036	0.01	0.007																				
Merged-chr19-35007259-4	chr19	35004200	35009577	+	5377	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.008	0.002	0	0.006	0.007	0	0	0	0	0	0	0	0	0	0	0	0.005	0.004	0	0																				
Merged-chr9-2279369-7	chr9	2274905	2282271	+	7366	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0.103	0	0.045	0.135	0.097	0.05	0.013	0.078	0.013	0.208	0.022	0.014	0.056	0.091	0.021	0.04	0.025	0.044	0.027																				
Merged-chr1-70837275-8	chr1	70832528	70840491	+	7963	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.028	0.02	0.015	0	0.025	0.019	0.012	0.006	0.543	0.24	0.42	0.712	0.578	0.414	0.607	0.41	0.099	0.115	0.454	0.558																				
Merged-chr9-25673287-8	chr9	25668127	25677173	+	9046	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.059	0.073	0.065	0.033	0.657	0.445	0.454	0.348	0.177	0.071	0.058	0.062	0.054	0.072	0.088	0.042	0.153	0.079	0.049	0.065																				
Merged-chr8-99602756-3	chr8	99601626	99603867	-	2241	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.06	0.286	0.018	0.267	0.082	0.077	0.02	0.043	0	0	0.008	0	0.018	0.008	0	0.017	0.031	0.042	0.01	0.005																				
Merged-chr3-58580405-4	chr3	58578253	58582213	+	3960	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				
Merged-chr9-21488896-5	chr9	21486528	21492061	-	5533	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.073	0.238	0.078	0.144	0.123	0.192	0.112	0.086	0.013	0.017	0.049	0.055	0.089	0.034	0.034	0.007	0.19	0.087	0.144	0.082																				
Merged-chr12-4131058-8	chr12	4126932	4133636	+	6704	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.695	0.107	0.997	0.109	0.561	1.205	0.66	1.031	0.922	0.45	0.45	0.252	0.812	1.892	1.015	0.561	0.613	0.104	1.608	1.231																				
Merged-chr2-77319150-7	chr2	77314586	77321974	+	7388	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.83	0.122	1.145	0.103	1.51	1.999	1.474	1.277	6.502	1.16	24.606	8.519	6.145	5.006	4.948	2.592	1.775	1.284	5.831	1.953																				
Merged-chr18-20868065-8	chr18	20864003	20870812	+	6809	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.013	0.005	0	0	0.035	0.054	0.037	0.014	0.023	0.02	0.021	0.006	0.015	0.033	0.006	0.011	0.056	0.057	0.074	0.029																				
Merged-chr7-106170956-7	chr7	106167412	106174875	-	7463	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0.002	0.003	0	0	0	0	0.002	0.003	0.003	0.005	0	0	0	0	0	0																				
Merged-chr3-152946359-7	chr3	152943145	152951106	-	7961	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.613	0.243	0.494	0.138	0.913	0.9	0.795	0.928	0.153	0.009	0.116	0.192	0.015	0.007	0.013	0	0.814	0.524	0.042	0.015																				
Merged-chr6-64665488-4	chr6	64663643	64667233	+	3590	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				
Merged-chr1-230740908-5	chr1	230736177	230745623	+	9446	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.024	0.005	0.008	0.011	0.045	0.062	0.034	0.02	0.61	0.337	1.14	0.313	1.027	0.473	0.294	0.402	0.117	0.051	0.703	0.819																				
Merged-chrX-30469164-7	chrX	30466253	30473748	-	7495	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.335	0.043	0.252	0.031	0.485	0.561	0.41	0.362	0.076	0.015	0.113	0.016	0.055	0.047	0.042	0.015	0.404	0.243	0.073	0.04																				
Merged-chrX-28522780-8	chrX	28519925	28526795	-	6870	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.124	0.055	0.034	0.14	0.411	0.498	0.614	0.16	0.076	0	0.042	0	0	0	0	0	0.345	0.271	0.011	0.04																				
Merged-chr5-123836378-8	chr5	123831932	123839229	+	7297	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.117	0.019	0.075	0.014	0.094	0.157	0.088	0.065	0.048	0.035	0.451	0.055	0.056	0.117	0.069	0.125	0.04	0.031	0.174	0.106																				
Merged-chr7-122460825-8	chr7	122456006	122463828	+	7822	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	2.599	0.314	1.835	0.242	2.381	2.342	1.434	1.517	0.124	0.062	0.33	0.154	0.162	0.295	0.129	0.214	3.782	1.412	0.252	0.075																				
Merged-chr2-165156000-8	chr2	165151552	165158862	+	7310	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.257	0.079	0.183	0.068	0.32	0.421	0.361	0.163	0.014	0.009	0.064	0.058	0.017	0.025	0.014	0.021	0.288	0.142	0.105	0.085																				
Merged-chr18-56311186-9	chr18	56307630	56314754	-	7124	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0.001	0	0.002	0.003																				
Merged-chr2-34924803-15	chr2	34918792	34928770	+	9978	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.009	0.003	0.004	0	0.009	0.02	0.011	0.01	0.005	0	0.031	0.004	0	0.002	0.004	0	0.017	0.006	0.006	0																				
Merged-chr3-34683117-7	chr3	34681173	34684832	-	3659	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.086	0.132	0.075	0.127	0.333	0.491	0.282	0.156	0.323	0.346	1.713	0.83	0.291	1.455	1.005	0.602	0.435	0.168	1.75	1.32																				
Merged-chr4-87399569-7	chr4	87395148	87402445	+	7297	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.049	0.014	0.022	0.014	0.147	0.083	0.06	0.02	0.052	0.019	0.025	0	0.006	0.018	0	0	0.022	0.029	0.013	0.012																				
Merged-chrX-86240454-8	chrX	86236087	86243290	+	7203	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.155	0.114	0.066	0.051	0.261	0.087	0.076	0.179	0.104	0.042	0.171	0.028	0.065	0.155	0.079	0.105	0.722	0.23	0.28	0.246																				
Merged-chr6-159302160-2	chr6	159300629	159303692	-	3063	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0.003	0	0	0	0	0	0	0.006	0	0.006	0	0.013	0	0	0	0.01	0	0	0.014																				
Merged-chr14-94031001-2	chr14	94029884	94032118	-	2234	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0.021	0	0.008	0	0	0	0	0	0	0	0	0	0	0																				
Merged-chr2-194997839-8	chr2	194994631	195002073	-	7442	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.054	0.008	0.058	0.013	0.094	0.105	0.089	0.07	0.009	0.037	0.041	0	0.008	0.1	0.099	0.036	0.062	0.035	0.078	0.028																				
Merged-chrX-113837840-7	chrX	113834958	113842474	-	7516	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.495	0.251	0.555	0.247	0.658	1.213	0.802	0.659	5.761	3.679	13.811	8.027	11.847	13.614	11.686	7.794	0.75	0.338	20.442	8.182																				
